Age,Year,Month,Region,Diagnosis,Clinical Sign
Unknown/Other,2013,11,Scotland,Helminthosis,Found dead
Unknown/Other,2013,11,Scotland,"Nephrosis, nephropathy and visceral gout",Found dead
Unknown/Other,2013,11,Scotland,Sudden death syndrome ('Flipover'),Found dead
Unknown/Other,2013,11,Scotland,Tuberculosis,Found dead
Unknown/Other,2013,11,South East,Broiler ascites,Found dead
Unknown/Other,2013,11,South East,Vent & feather pecking,Found dead
Unknown/Other,2013,11,Yorkshire and The Humber,Infectious bronchitis,Found dead
Unknown/Other,2013,11,South West,Egg peritonitis and salpingitis,Abnormal faeces or other GIT
Unknown/Other,2013,11,South West,"Neoplasm (other, including adenocarcinoma)",Abnormal faeces or other GIT
Unknown/Other,2013,12,Wales,Infectious bronchitis,Wasting
Unknown/Other,2013,12,Wales,Mycoplasma gallisepticum,Wasting
Unknown/Other,2013,12,Wales,Mycoplasma synoviae infection,Wasting
